code,name
R87.5,Các phát hiện bất thường trong bệnh phẩm của cơ quan sinh dục nữ: bất thường về vi sinh
R87.3,"Các phát hiện bất thường trong bệnh phẩm của cơ quan sinh dục nữ: nồng độ bất thường của thuốc, dược phẩm và chất sinh học khác"
R87.6,Các phát hiện bất thường trong bệnh phẩm của cơ quan sinh dục nữ: bất thường về tế bào
R87.4,Các phát hiện bất thường trong bệnh phẩm của cơ quan sinh dục nữ: bất thường về miễn dịch
R86.1,Các phát hiện bất thường trong mẫu vật của cơ quan sinh dục nam: nồng độ bất thường của hormon
R86.2,"Các phát hiện bất thường trong mẫu vật của cơ quan sinh dục nam: nồng độ bất thường của thuốc, dược phẩm và chất sinh học khác"
R86.5,Các phát hiện bất thường trong mẫu vật của cơ quan sinh dục nam: bất thường về vi sinh
R86.4,Các phát hiện bất thường trong mẫu vật của cơ quan sinh dục nam: bất thường về miễn dịch
R86.7,Các phát hiện bất thường trong mẫu vật của cơ quan sinh dục nam: bất thường về mô
R86.9,Các phát hiện bất thường trong mẫu vật của cơ quan sinh dục nam: bất thường không xác định
R86.6,Các phát hiện bất thường trong mẫu vật của cơ quan sinh dục nam: bất thường về tế bào
R86.0,Các phát hiện bất thường trong mẫu vật của cơ quan sinh dục nam: nồng độ bất thường của men
R86.3,Các phát hiện bất thường trong mẫu vật của cơ quan sinh dục nam: nồng độ bất thường của các chất không phải là thuốc điều trị
R86.8,Các phát hiện bất thường trong mẫu vật của cơ quan sinh dục nam: bất thường khác
R85.9,Các phát hiện bất thường trong mẫu bệnh phẩm từ cơ quan tiêu hoá và ổ bụng: bất thường không xác định
R85.3,Các phát hiện bất thường trong mẫu bệnh phẩm từ cơ quan tiêu hoá và ổ bụng: nồng độ bất thường của các chất không phải là thuốc điều trị
R85.0,Các phát hiện bất thường trong mẫu bệnh phẩm từ cơ quan tiêu hoá và ổ bụng: nồng độ bất thường của men
R85.8,Các phát hiện bất thường trong mẫu bệnh phẩm từ cơ quan tiêu hoá và ổ bụng: bất thường khác
R85.4,Các phát hiện bất thường trong mẫu bệnh phẩm từ cơ quan tiêu hoá và ổ bụng: bất thường về miễn dịch
R85.5,Các phát hiện bất thường trong mẫu bệnh phẩm từ cơ quan tiêu hoá và ổ bụng: bất thường về vi sinh
R85.1,Các phát hiện bất thường trong mẫu bệnh phẩm từ cơ quan tiêu hoá và ổ bụng: nồng độ bất thường của hormon
R85.7,Các phát hiện bất thường trong mẫu bệnh phẩm từ cơ quan tiêu hoá và ổ bụng: bất thường về mô
R85.2,"Các phát hiện bất thường trong mẫu bệnh phẩm từ cơ quan tiêu hoá và ổ bụng: nồng độ bất thường của thuốc, dược phẩm và chất sinh học"
R85.6,Các phát hiện bất thường trong mẫu bệnh phẩm từ cơ quan tiêu hoá và ổ bụng: bất thường về tế bào
R83.3,Các phát hiện bất thường về xét nghiệm dịch não tuỷ: nồng độ bất thường của các chất không phải là thuốc điều trị
R83.6,Các phát hiện bất thường về xét nghiệm dịch não tuỷ: bất thường về tế bào
R83.0,Các phát hiện bất thường về xét nghiệm dịch não tuỷ: nồng độ bất thường của men
R83.9,Các phát hiện bất thường về xét nghiệm dịch não tuỷ: bất thường không xác định
R83.7,Các phát hiện bất thường về xét nghiệm dịch não tuỷ: bất thường về mô
R83.5,Các phát hiện bất thường về xét nghiệm dịch não tuỷ: bất thường về vi sinh
R83.2,"Các phát hiện bất thường về xét nghiệm dịch não tuỷ: nồng đô bất thường của thuốc, dược phẩm và chất sinh học"
R83.4,Các phát hiện bất thường về xét nghiệm dịch não tuỷ: bất thường về miễn dịch
R83.8,Các phát hiện bất thường về xét nghiệm dịch não tuỷ: bất thường khác
R83.1,Các phát hiện bất thường về xét nghiệm dịch não tuỷ: nồng độ bất thường của hormon
R89.2,"Các phát hiện bất thường trong mẫu vật của các cơ quan, hệ thống và mô khác: nồng độ bất thường của thuốc, dược phẩm và chất sinh học"
R89.4,"Các phát hiện bất thường trong mẫu vật của các cơ quan, hệ thống và mô khác: bất thường về miễn dịch"
R89.5,"Các phát hiện bất thường trong mẫu vật của các cơ quan, hệ thống và mô khác: bất thường về vi sinh"
R89.1,"Các phát hiện bất thường trong mẫu vật của các cơ quan, hệ thống và mô khác: nồng độ bất thường của hormon"
R89.9,"Các phát hiện bất thường trong mẫu vật của các cơ quan, hệ thống và mô khác: bất thường không xác định"
R89.3,"Các phát hiện bất thường trong mẫu vật của các cơ quan, hệ thống và mô khác: nồng độ bất thường của các chất không phải là thuốc điều trị"
R89.0,"Các phát hiện bất thường trong mẫu vật của các cơ quan, hệ thống và mô khác: nồng độ bất thường của men"
R89.7,"Các phát hiện bất thường trong mẫu vật của các cơ quan, hệ thống và mô khác: bất thường về mô"
R89.8,"Các phát hiện bất thường trong mẫu vật của các cơ quan, hệ thống và mô khác: bất thường khác"
R89.6,"Các phát hiện bất thường trong mẫu vật của các cơ quan, hệ thống và mô khác: bất thường về tế bào"
R84.2,"Các phát hiện bất thường trong dịch não tuỷ: nồng độ bất thường của thuốc, dược phẩm và chất sinh học"
R84.7,Các phát hiện bất thường trong mẫu bệnh phẩm từ cơ quan hô hấp và lồng ngực: bất thường về mô
R84.4,Các phát hiện bất thường trong mẫu bệnh phẩm từ cơ quan hô hấp và lồng ngực: bất thường về các chất kh
R84.8,Các phát hiện bất thường trong mẫu bệnh phẩm từ cơ quan hô hấp và lồng ngực: bất thường khác
R84.1,Các phát hiện bất thường trong mẫu bệnh phẩm từ cơ quan hô hấp và lồng ngực: nồng độ bất thường của hormon
R84.0,Các phát hiện bất thường trong mẫu bệnh phẩm từ cơ quan hô hấp và lồng ngực: nồng độ bất thường về men
R84.3,Các phát hiện bất thường trong mẫu bệnh phẩm từ cơ quan hô hấp và lồng ngực: nồng độ bất thường của các chất không phải là thuốc điều trị
R84.6,Các phát hiện bất thường trong mẫu bệnh phẩm từ cơ quan hô hấp và lồng ngực: bất thường về tế bào
R84.5,Các phát hiện bất thường trong mẫu bệnh phẩm từ cơ quan hô hấp và lồng ngực: bất thường về vi sinh
R84.9,Các phát hiện bất thường trong mẫu bệnh phẩm từ cơ quan hô hấp và lồng ngực: bất thường không xác định
R93.7,Các phát hiện bất thường về chẩn đoán hình ảnh của các phần khác của hệ xương
R93.8,Các phát hiện bất thường về chẩn đoán hình ảnh của các cấu trúc cơ thể xác định khác
R93.1,"Các phát hiện bất thường về chẩn đoán hình ảnh của tim và mạch vành, không đặc hiệu"
R93.4,Các phát hiện bất thường về chẩn đoán hình ảnh của cơ quan tiết niệu
R93.6,Các phát hiện bất thường về chẩn đoán hình ảnh của các chi
R93.5,"Các phát hiện bất thường về chẩn đoán hình ảnh của vùng bụng khác, kể cả khoang sau màng bụng"
R93.0,"Các phát hiện bất thường về chẩn đoán hình ảnh của xương sọ và đầu, không phân loại nơi khác"
R93.3,Các phát hiện bất thường về chẩn đoán hình ảnh của các phần khác của đường tiêu hoá
R93.2,Các phát hiện bất thường về chẩn đoán hình ảnh của gan và đường dẫn mật
R90.0,Tổn thương choán chỗ nội sọ
R90.8,Các phát hiện bất thường khác về chẩn đoán hình ảnh của hệ thần kinh trung ương
R94.8,Kết quả bất thường về thăm dò chức năng các cơ quan và hệ thống khác
R94.6,Kết quả bất thường về thăm dò chức năng tuyến giáp
R94.3,Kết quả bất thường về thăm dò chức năng tuần hoàn
R94.1,Kết quả bất thường về thăm dò chức năng của hệ thần kinh ngoại biên và các giác quan đặc hiệu
R94.0,Kết quả bất thường về thăm dò chức năng của hệ thần kinh trung ương
R94.2,Kết quả bất thường về thăm dò chức năng phổi
R94.4,Kết quả bất thường về thăm dò chức năng thận
R94.7,Kết quả bất thường về thăm dò chức năng nội tiết khác
R94.5,Kết quả bất thường về thăm dò chức năng gan
R96.1,"Tử vong dưới 24 giờ sau khi khởi phát các triệu chứng, không có cách giải thích"
R96.0,Đột tử
